"","Pair.Name","Ligand","Ligand.Name","Receptor","Receptor.Name","complex_pair","partner_a","partner_b","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","sources","references","curation_effort","n_references","n_resources","annotation_strategy","db","dup"
"1","ADAM12_ITGB1","ADAM12","ADAM metallopeptidase domain 12","ITGB1","integrin subunit beta 1",NA,"O43184","P05556","O43184","P05556","ADAM12","ITGB1",1,1,0,1,1,0,"Adhesome;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","Adhesome:15242759;CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520",4,2,9,"LR","both","ITGB1_ADAM12"
"2","ADAM12_SDC4","ADAM12","ADAM metallopeptidase domain 12","SDC4","syndecan 4",NA,"O43184","P31431","O43184","P31431","ADAM12","SDC4",1,1,0,1,1,0,"Adhesome;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","Adhesome:12509413;CellTalkDB:12509413;LRdb:12509413;SIGNOR:12509413;connectomeDB2020:12509413",5,1,10,"LR","both","SDC4_ADAM12"
"3","ADAM15_ITGA5","ADAM15","ADAM metallopeptidase domain 15","ITGA5","integrin subunit alpha 5",NA,"Q13444","P08648","Q13444","P08648","ADAM15","ITGA5",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:9914169;HPMR:9516430;HPMR:9914169;LRdb:952;LRdb:9914169;connectomeDB2020:9516430;connectomeDB2020:9914169",7,3,9,"LR","both","ITGA5_ADAM15"
"4","ADAM15_ITGA9","ADAM15","ADAM metallopeptidase domain 15","ITGA9","integrin subunit alpha 9",NA,"Q13444","Q13797","Q13444","Q13797","ADAM15","ITGA9",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520",3,1,8,"LR","both","ITGA9_ADAM15"
"5","ADAM17_ERBB4","ADAM17","ADAM metallopeptidase domain 17","ERBB4","erb-b2 receptor tyrosine kinase 4",NA,"P78536","Q15303","P78536","Q15303","ADAM17","ERBB4",1,1,0,1,1,0,"Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;NCI-PID_ProtMapper;ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_ProtMapper;Wang;iTALK;talklr","Baccin2019:15534001;CellTalkDB:26554003;HPRD:15534001;LRdb:15534001;ProtMapper:10744726;ProtMapper:15746097;ProtMapper:17486069;ProtMapper:9685416",8,6,10,"LR","both","ERBB4_ADAM17"
"6","ADAM17_ITGA5","ADAM17","ADAM metallopeptidase domain 17","ITGA5","integrin subunit alpha 5",NA,"P78536","P08648","P78536","P08648","ADAM17","ITGA5",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:14970227;LRdb:14970227;connectomeDB2020:14970227",3,1,8,"LR","both","ITGA5_ADAM17"
"7","ADAM17_NOTCH1","ADAM17","ADAM metallopeptidase domain 17","NOTCH1","notch receptor 1",NA,"P78536","P46531","P78536","P46531","ADAM17","NOTCH1",1,1,0,1,1,0,"ACSN;CellCall;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD-phos;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","ACSN:19601831;ACSN:19704010;ACSN:19726682;CellTalkDB:10882063;Cellinker:10882063;Cellinker:9620803;HPRD-phos:10882063;HPRD-phos:9620803;HPRD:10882063;HPRD:9620803;LRdb:10882063;LRdb:96;SIGNOR:10882063;connectomeDB2020:10882063;connectomeDB2020:9620803",15,6,14,"LR","both","NOTCH1_ADAM17"
"8","ADAM2_ITGA6","ADAM2","ADAM metallopeptidase domain 2","ITGA6","integrin subunit alpha 6",NA,"Q99965","P23229","Q99965","P23229","ADAM2","ITGA6",1,1,0,1,1,0,"CellTalkDB;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:9889149;LRdb:9889149;connectomeDB2020:9889149",3,1,7,"LR","both","ITGA6_ADAM2"
"9","ADAM2_ITGB1","ADAM2","ADAM metallopeptidase domain 2","ITGB1","integrin subunit beta 1",NA,"Q99965","P05556","Q99965","P05556","ADAM2","ITGB1",1,1,0,1,1,0,"CellTalkDB;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:9889149;LRdb:9889149;connectomeDB2020:9889149",3,1,7,"LR","both","ITGB1_ADAM2"
"10","ADAM23_ITGA5","ADAM23","ADAM metallopeptidase domain 23","ITGA5","integrin subunit alpha 5",NA,"O75077","P08648","O75077","P08648","ADAM23","ITGA5",1,1,0,1,1,0,"EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","LRdb:10749942;connectomeDB2020:10749942",2,1,7,"LR","both","ITGA5_ADAM23"
