L,R,ligand,receptor,l_adhesion_mol,r_adhesion_mol,pid1,pid2,pairs
901,917,PTGR1,LTB4R,0,0,1282.0,917.0,PTGR1_LTB4R
315,917,LTA4H,LTB4R,0,0,1430.0,917.0,LTA4H_LTB4R
901,1189,PTGR1,LTB4R2,0,0,1282.0,1189.0,PTGR1_LTB4R2
315,1189,LTA4H,LTB4R2,0,0,1430.0,1189.0,LTA4H_LTB4R2
315,864,LTA4H,GPR17,0,0,1430.0,864.0,LTA4H_GPR17
451,864,ALOX5AP,GPR17,0,0,1431.0,864.0,ALOX5AP_GPR17
313,864,ALOX5,GPR17,0,0,1431.0,864.0,ALOX5_GPR17
939,864,LTC4S,GPR17,0,0,1431.0,864.0,LTC4S_GPR17
444,864,GGT1,GPR17,0,0,1432.0,864.0,GGT1_GPR17
630,864,GGT5,GPR17,0,0,1432.0,864.0,GGT5_GPR17
247,1102,CYP11A1,NR1H4,0,0,1283.0,1102.0,CYP11A1_NR1H4
294,1102,CYP3A4,NR1H4,0,0,1284.0,1102.0,CYP3A4_NR1H4
42,1102,HSD17B6,NR1H4,0,0,1312.0,1102.0,HSD17B6_NR1H4
131,1102,FGF19,NR1H4,0,0,131.0,1102.0,FGF19_NR1H4
1268,471,DAGLA,CNR1,0,0,1285.0,471.0,DAGLA_CNR1
1024,471,DAGLB,CNR1,0,0,1286.0,471.0,DAGLB_CNR1
1268,609,DAGLA,CNR2,0,0,1285.0,609.0,DAGLA_CNR2
1024,609,DAGLB,CNR2,0,0,1286.0,609.0,DAGLB_CNR2
365,609,CCL4,CNR2,0,0,365.0,609.0,CCL4_CNR2
1268,1267,DAGLA,GPR55,0,0,1285.0,1267.0,DAGLA_GPR55
1024,1267,DAGLB,GPR55,0,0,1286.0,1267.0,DAGLB_GPR55
365,741,CCL4,CCR8,0,0,365.0,741.0,CCL4_CCR8
64,741,CCL16,CCR8,0,0,64.0,741.0,CCL16_CCR8
329,741,SPP1,CCR8,0,0,329.0,741.0,SPP1_CCR8
488,741,CCL1,CCR8,0,0,488.0,741.0,CCL1_CCR8
365,1044,CCL4,GPR152,0,0,365.0,1044.0,CCL4_GPR152
124,1044,BMP10,GPR152,0,0,124.0,1044.0,BMP10_GPR152
180,1044,GAST,GPR152,0,0,180.0,1044.0,GAST_GPR152
597,1044,IFNA8,GPR152,0,0,597.0,1044.0,IFNA8_GPR152
179,1044,IGF2,GPR152,0,0,179.0,1044.0,IGF2_GPR152
499,1044,BDNF,GPR152,0,0,499.0,1044.0,BDNF_GPR152
926,1044,ADIPOQ,GPR152,0,0,926.0,1044.0,ADIPOQ_GPR152
1037,1044,CCL4L2,GPR152,0,0,1037.0,1044.0,CCL4L2_GPR152
365,572,CCL4,SLC7A1,0,0,365.0,572.0,CCL4_SLC7A1
