,ID,community,CPDB,NicheNet
0,ADGRL1,True,True,True
1,IRAK4,True,False,False
2,IL13,True,True,True
3,LEFTY2,True,True,True
4,GRK2,True,False,False
5,KIR3DL3,True,False,False
6,IL22RA2,True,False,True
7,ITGB1,True,True,True
8,GDF9,True,True,True
9,CNTF,True,True,True
10,EPHB3,True,True,True
11,CD22,True,True,True
12,AHSG,True,False,False
13,XCL1,True,True,True
14,BTN3A3,True,False,False
15,ACVR1C,True,True,True
16,MCFD2,True,False,False
17,ATP6AP2,True,True,True
18,F12,True,False,False
19,F2RL3,True,False,True
20,NCR3LG1,True,True,False
21,KCNA1,True,False,False
22,HTR1F,True,True,True
23,GABRA6,False,False,True
24,CCL22,True,True,True
25,FGF22,True,True,True
26,THPO,True,True,True
27,SEMA4F,True,False,False
28,ULBP3,True,True,False
29,NR1H3,False,True,False
30,CORIN,True,False,True
31,COL16A1,True,True,False
32,TAS2R46,False,False,True
33,APLP1,True,False,False
34,ALCAM,True,True,True
35,GPC1,True,False,True
36,IGFBP6,True,False,False
37,TNFRSF25,True,True,True
38,IL22RA1,True,True,True
39,DSC1,True,True,True
40,C3,True,True,True
41,NRP1,True,True,True
42,CD40,True,True,True
43,PATJ,True,False,False
44,CD81,True,False,False
45,ANGPTL7,True,False,False
46,DNAJA3,True,False,False
47,MMP7,True,False,False
48,C4B,True,False,False
49,CD209,True,True,False
50,VEGFB,True,True,True
51,TACR3,True,True,True
52,RIMS1,True,False,False
53,PTDSS1,True,False,True
54,FGF20,True,True,True
55,CDH18,False,False,True
56,F11R,True,True,True
57,DPEP2,False,True,False
58,HSD17B12,False,True,False
59,PTPRS,True,True,True
60,NMS,True,True,True
61,COMP,True,False,True
62,PCDHA7,False,False,True
63,GCG,True,True,True
64,RXFP3,True,True,True
65,ADIPOQ,True,True,True
66,CELSR3,True,True,True
67,SELENOS,False,False,True
68,CLEC2A,True,True,False
69,GNAI3,True,False,False
70,EPHA6,True,False,True
71,IGSF9B,True,False,False
72,PLXNB2,True,True,True
73,CD177,True,True,False
74,MMP24,True,False,False
75,HJV,True,False,False
76,KIDINS220,True,False,False
77,ETV5,True,False,False
78,FGF21,True,True,True
79,IL31RA,True,False,True
80,OLR1,True,False,False
81,ESAM,True,False,True
82,SEMA7A,True,True,True
83,KCNH1,False,False,True
84,UTS2B,True,True,True
85,CR1,True,False,False
86,LILRB1,True,True,True
87,P4HB,True,True,False
88,CSF1R,True,True,True
89,SERPINA7,True,False,False
90,VSIG4,True,False,False
91,CCL5,True,True,True
92,PTPRO,True,False,True
93,CALML3,True,False,False
94,CCL11,True,True,True
95,TGFB1,True,True,True
96,PLSCR1,True,False,False
97,HRH3,True,True,True
98,SCT,True,True,True
99,PTCH2,True,True,True
100,SEMA6C,True,False,False
101,LY6G6C,True,False,False
102,TTYH1,True,False,False
103,NEGR1,True,False,True
104,CD163,True,False,True
105,CLEC10A,True,False,False
106,SNX14,True,False,False
107,STAB1,True,False,False
108,OSGIN1,False,False,True
109,CXCR5,True,True,True
110,OSTN,True,True,True
111,HHLA2,True,False,False
112,GABRB3,False,False,True
113,MTTP,True,False,False
114,MICB,True,True,False
115,LAMA5,True,False,False
116,GPR135,True,False,True
117,HHIP,True,True,True
118,HTR3E,False,True,False
119,PROKR2,True,True,True
120,SERPINC1,True,False,True
121,PLGRKT,True,False,False
122,IL3RA,True,True,True
123,CCR10,True,True,True
124,IFNAR2,True,True,True
125,TMEM132A,True,False,False
126,JMJD6,True,False,True
127,TPH1,True,False,True
128,PDCD2,True,False,False
129,GNA13,True,False,False
130,IL11RA,True,True,True
131,IFNA14,True,True,True
132,SEMA4G,True,True,False
133,MADCAM1,True,True,True
134,DCBLD2,True,False,False
135,PAM,True,False,False
136,ITGA6,True,True,True
137,MMP2,True,True,False
138,BMP1,True,False,True
139,OPRK1,True,True,True
140,LRP6,True,True,True
141,AGT,True,True,True
142,GPR26,True,False,False
143,TFF1,True,True,True
144,ADRA2C,False,True,True
145,LAMC3,True,False,True
146,FLOT1,True,False,False
147,SEMA3G,True,False,False
148,SFRP4,True,True,True
149,TLR6,True,False,False
150,MC5R,True,True,True
151,FAS,True,True,True
152,APELA,True,True,False
153,SFRP5,True,True,False
154,KLRC1,True,True,True
155,CD44,True,True,True
156,TMEM53,True,False,False
157,EPN1,True,False,False
158,ADCY9,True,False,False
159,BCAM,True,False,False
160,GAS1,True,True,False
161,APOBR,False,True,False
162,PRG4,True,False,False
163,LTBP3,True,False,False
164,HTR4,True,True,True
165,CXCL8,True,True,True
166,KCNJ10,True,False,True
167,GHSR,True,True,True
