,ID,community,CPDB,NicheNet
0,ADGRL1,True,True,False
1,IRAK4,True,False,False
2,IL13,True,True,True
3,LEFTY2,True,True,True
4,KIR3DL3,True,False,False
5,IL22RA2,True,False,True
6,ITGB1,True,True,True
7,GDF9,True,True,True
8,CNTF,True,True,True
9,EPHB3,True,True,True
10,CD22,True,True,True
11,AHSG,True,False,False
12,XCL1,True,True,True
13,BTN3A3,True,False,False
14,ACVR1C,True,True,True
15,MCFD2,True,False,False
16,ATP6AP2,True,True,True
17,F12,True,False,False
18,F2RL3,True,False,True
19,NCR3LG1,True,True,False
20,HTR1F,True,True,True
21,CCL22,True,True,True
22,FGF22,True,True,True
23,THPO,True,True,True
24,ULBP3,True,True,False
25,NR1H3,False,True,False
26,COL16A1,True,True,False
27,APLP1,True,False,False
28,ALCAM,True,True,True
29,GPC1,True,False,True
30,TNFRSF25,True,True,True
31,IL22RA1,True,True,True
32,DSC1,True,True,False
33,C3,True,True,True
34,NRP1,True,True,True
35,CD40,True,True,True
36,CD81,True,False,False
37,ANGPTL7,True,False,False
38,MMP7,True,False,False
39,C4B,True,False,False
40,CD209,True,True,False
41,VEGFB,True,True,True
42,TACR3,True,True,True
43,RIMS1,True,False,False
44,PTDSS1,True,False,True
45,FGF20,True,True,False
46,F11R,True,True,True
47,DPEP2,False,True,False
48,HSD17B12,False,True,False
49,PTPRS,True,True,True
50,NMS,True,True,True
51,COMP,True,False,True
52,GCG,True,True,True
53,RXFP3,True,True,True
54,ADIPOQ,True,True,True
55,CELSR3,False,True,False
56,CLEC2A,True,True,False
57,EPHA6,True,False,True
58,PLXNB2,True,True,True
59,CD177,True,True,False
60,MMP24,True,False,False
61,HJV,True,False,False
62,KIDINS220,True,False,False
63,ETV5,True,False,False
64,FGF21,True,True,False
65,IL31RA,True,False,True
66,OLR1,True,False,False
67,ESAM,True,False,True
68,SEMA7A,True,True,True
69,KCNH1,False,False,True
70,UTS2B,True,True,True
71,CR1,True,False,False
72,LILRB1,True,True,True
73,P4HB,True,True,False
74,CSF1R,True,True,True
75,SERPINA7,True,False,False
76,CCL5,True,True,True
77,CALML3,True,False,False
78,CCL11,True,True,True
79,TGFB1,True,True,True
80,PLSCR1,True,False,False
81,HRH3,True,True,True
82,SCT,True,True,True
83,PTCH2,True,True,True
84,NEGR1,True,False,True
85,CD163,True,False,False
86,CLEC10A,True,False,False
87,SNX14,True,False,False
88,STAB1,True,False,False
89,CXCR5,True,True,True
90,OSTN,True,True,True
91,HHLA2,True,False,False
92,MTTP,True,False,False
93,MICB,True,True,False
94,LAMA5,True,False,False
95,GPR135,True,False,True
96,HHIP,True,True,True
97,HTR3E,False,True,False
98,PROKR2,True,True,True
99,SERPINC1,True,False,True
100,PLGRKT,True,False,False
101,IL3RA,True,True,True
102,CCR10,True,True,True
103,IFNAR2,True,True,True
104,JMJD6,True,False,True
105,TPH1,True,False,True
106,PDCD2,True,False,False
107,IL11RA,True,True,True
108,IFNA14,True,True,True
109,SEMA4G,False,True,False
110,MADCAM1,True,True,True
111,PAM,True,False,False
112,ITGA6,True,True,True
113,MMP2,True,True,False
114,BMP1,True,False,False
115,OPRK1,True,True,True
116,LRP6,True,True,True
117,AGT,True,True,True
118,TFF1,True,True,False
119,ADRA2C,False,True,False
