,ID,community,CPDB,NicheNet
0,ADAM9_ITGB1,True,False,True
1,LAIR2_FGFR4,True,False,False
2,SEMA7A_ITGB1,True,True,True
3,NMU_NPFFR1,False,False,True
4,INHBA_TGFBR3,True,False,True
5,NMS_PROKR1,False,False,True
6,ADM_RAMP2,True,False,True
7,WNT6_WIF1,False,True,False
8,HLA-F_KIR3DS1,True,True,False
9,PTH2_GIPR,False,False,True
10,POMC_TAS2R1,False,False,True
11,HSPG2_COL13A1,True,False,False
12,PPY_CCR1,False,False,True
13,CXCL10_CXCR1,False,False,True
14,PIK3CB_KLRD1,False,False,True
15,GCG_XCR1,False,False,True
16,SHH_GPC5,True,False,False
17,NMU_CCR7,False,False,True
18,CCL5_LPAR2,False,False,True
19,RLN3_NMUR2,False,False,True
20,CORT_S1PR2,False,False,True
21,CCL21_HTR1A,False,False,True
22,C5_OPRM1,False,False,True
23,IGFBP4_FZD8,True,False,False
24,NPY_OPRK1,False,False,True
25,KISS1_F2R,False,False,True
26,CCL26_CCR3,True,True,True
27,TAC3_GCGR,False,False,True
28,ANXA1_CXCR1,False,False,True
29,ADM_MC5R,False,False,True
30,RLN3_TAS2R39,False,False,True
31,XCL1_HRH1,False,False,True
32,CXCL9_P2RY12,False,False,True
33,RLN3_CHRM2,False,False,True
34,PTHLH_GPBAR1,False,False,True
35,ROR2_FZD2,True,False,False
36,IL3_IL3RA,True,True,True
37,AGT_P2RY10,False,False,True
38,POMC_GRM6,False,False,True
39,EPHB3_EFNB2,False,True,False
40,AGT_CCR10,False,False,True
41,BMP2_FGFR4,False,False,True
42,CRH_PTGER4,False,False,True
43,CXCL5_CHRM2,False,False,True
44,GHRL_PTGER1,False,False,True
45,NPW_SSTR4,False,False,True
46,NMB_NMUR2,False,False,True
47,EDN2_CYSLTR2,False,False,True
48,CCL20_OPRL1,False,False,True
49,GNRH1_GNRHR,True,True,True
50,SST_S1PR4,False,False,True
51,WNT7B_WIF1,False,True,False
52,VEGFB_TYRO3,True,False,False
53,CD40LG_ITGA5,False,True,True
54,WNT7B_SFRP4,False,True,False
55,GAL_CCR2,False,False,True
56,CORT_S1PR4,False,False,True
57,APOE_ABCA1,True,False,False
58,IL4_IL4R,True,True,True
59,NOG_BMP8A,True,False,False
60,ANXA1_PTGDR2,False,False,True
61,NOTCH4_UNC5B,True,False,False
62,CALM3_PLPP6,True,False,False
63,XCL2_PROKR2,False,False,True
64,PENK_HTR1A,False,False,True
65,COL4A6_ITGA10,True,True,False
66,CD2_NLGN3,True,False,False
67,OSTN_NPR3,True,True,True
68,NPY_OPRM1,False,False,True
69,TRH_NPFFR1,False,False,True
70,TAC1_MCHR1,False,False,True
71,PPBP_FPR1,False,False,True
72,EMILIN1_TGFB3,True,False,False
73,KNG1_OPRK1,False,False,True
74,CCL11_CCR3,True,True,True
75,TNN_SDC4,True,False,False
76,CXCL6_CCR9,False,False,True
77,AGT_P2RY4,False,False,True
78,CCL28_NPBWR1,False,False,True
79,GNRH2_GNRHR2,False,True,False
80,RXRG_RARG,False,True,False
81,PILRA_LILRB5,True,False,False
82,ICAM1_ITGAX,True,True,True
83,POMC_GLP1R,False,False,True
84,COL24A1_ITGA2,False,True,False
85,PYY_P2RY13,False,False,True
86,EDN2_ADRA1A,False,False,True
87,CALM1_PDE1A,True,False,True
88,LAMA4_ITGB8,True,False,False
89,CCL19_GRM7,True,False,True
90,PENK_MTNR1A,True,False,True
91,SEMA4D_PLXNB2,True,True,True
92,WNT10A_FZD5,True,True,False
93,GHRL_LPAR5,False,False,True
94,DBH_ADRB2,False,True,False
95,CEACAM5_CEACAM7,True,False,False
96,XCL2_MCHR1,False,False,True
97,PYY_HTR1D,False,False,True
98,NLGN2_NRXN1,True,False,True
99,BMP7_ACVR1B,True,False,False
100,GNAS_TSHR,True,False,False
101,TGFB3_ITGB6,True,True,True
102,XCL2_LPAR2,False,False,True
103,CD300LB_SIGLEC5,True,False,False
104,CXCL13_S1PR2,False,False,True
105,CXCL2_DRD2,False,False,True
106,CCN1_ITGB5,True,False,False
107,CTSG_PARD3,True,False,False
108,CCL25_PTGER3,False,False,True
109,CXCL2_TAS2R14,False,False,True
110,NMS_HTR2A,False,False,True
111,INSL5_S1PR4,False,False,True
