,ID,community,CPDB,NicheNet
0,ADAM9_ITGB1,True,False,True
1,LAIR2_FGFR4,True,False,False
2,SEMA7A_ITGB1,True,True,True
3,INHBA_TGFBR3,True,False,True
4,ADM_RAMP2,True,False,True
5,WNT6_WIF1,False,True,False
6,HLA-F_KIR3DS1,True,True,False
7,HSPG2_COL13A1,True,False,False
8,SHH_GPC5,True,False,False
9,IGFBP4_FZD8,True,False,False
10,CCL26_CCR3,True,True,True
11,IL3_IL3RA,True,True,True
12,EPHB3_EFNB2,False,True,False
13,GNRH1_GNRHR,True,True,True
14,WNT7B_WIF1,False,True,False
15,CD40LG_ITGA5,False,True,True
16,WNT7B_SFRP4,False,True,False
17,APOE_ABCA1,True,False,False
18,IL4_IL4R,True,True,True
19,COL4A6_ITGA10,True,True,False
20,OSTN_NPR3,True,True,True
21,CCL11_CCR3,True,True,True
22,GNRH2_GNRHR2,False,True,False
23,RXRG_RARG,False,True,False
24,ICAM1_ITGAX,True,True,True
25,COL24A1_ITGA2,False,True,False
26,CALM1_PDE1A,True,False,True
27,CCL19_GRM7,True,False,True
28,PENK_MTNR1A,True,False,True
29,SEMA4D_PLXNB2,True,True,True
30,WNT10A_FZD5,True,True,False
31,DBH_ADRB2,False,True,False
32,NLGN2_NRXN1,True,False,True
33,BMP7_ACVR1B,True,False,False
34,GNAS_TSHR,True,False,False
35,TGFB3_ITGB6,True,True,True
36,CCN1_ITGB5,True,False,False
37,WNT3A_ROR1,True,False,False
38,CYP11A1_NR1I2,False,True,False
39,DBP_ACKR1,True,False,False
40,CHAT_CHRNA4,False,True,False
41,MMP13_LRP1,True,False,True
42,CDH4_CDH4,False,False,True
43,HSP90B1_TLR9,True,False,False
44,WNT9A_FZD4,True,True,False
45,C4A_NRP1,True,False,False
46,CCL7_ACKR4,True,False,True
47,KITLG_LRRN3,True,False,False
48,SEMA4A_LILRB2,True,False,False
49,SOST_LRP5,True,False,True
50,INSL3_CD40,False,True,False
51,PLA2G10_PLA2R1,True,False,False
52,ASIP_MC4R,True,False,True
53,TAC4_TACR3,True,False,True
54,CDON_PTCH2,False,True,False
55,TNFSF13_TNFRSF11B,True,False,True
56,ANG_PLXNB2,True,False,False
57,WNT8A_SFRP2,False,True,False
58,TNF_NOTCH1,True,True,False
59,WNT5B_WIF1,False,True,False
60,MS4A4A_NRG1,False,True,False
61,TIMP3_MET,True,False,False
62,CCL16_CCR1,True,True,True
63,CCL7_CCR2,True,True,True
64,ALDH1A3_RORB,False,True,False
65,TFF1_FCRL4,True,True,False
66,TPH1_HTR1E,True,False,True
67,WNT7A_FZD1,True,True,True
68,SEMA3A_PLXNA1,True,False,True
69,TPH1_HTR7,True,False,True
70,B2M_LILRB2,True,False,False
71,EFNA1_EPHB1,True,False,True
72,COL7A1_ITGA2,True,True,False
73,CCL26_ACKR2,True,False,False
74,COL13A1_ITGA11,False,True,False
75,PTH_VIPR1,True,False,True
76,SEMA4A_PLXNB2,True,False,False
77,TPH1_HTR1A,True,False,True
78,CALM2_KCNQ3,True,False,False
79,RLN3_GRM7,True,False,True
80,AGT_GRM7,True,False,True
81,COL8A1_ITGB1,False,True,False
82,L1CAM_L1CAM,False,False,True
83,WNT7B_FZD3,True,True,True
84,IMPG2_PRLR,True,False,False
85,POMC_GPR20,True,False,True
86,TIMP1_CD63,True,False,False
87,FGF9_FGFR1,True,False,True
88,FGFR3_FGFR2,False,True,False
89,FARP2_PLXNA3,True,False,False
90,FGF13_FGFR3,True,False,True
91,LAMC3_ITGA3,True,False,True
92,TNFSF9_ADGRG5,True,True,False
93,MLN_MLNR,True,True,True
94,NAMPT_NTRK1,True,True,True
95,NTN4_UNC5D,False,True,False
96,DBH_ADRA2A,False,True,False
97,SCT_PTH1R,True,False,True
98,WNT9B_FZD5,True,True,False
99,EGF_NRG1,False,True,False
100,CALCA_ADCYAP1R1,True,False,True
101,INSL3_GPR84,True,False,True
102,ANGPT1_ITGA5,True,False,True
103,BMP8B_PLAUR,True,True,False
104,GLG1_SELE,False,True,False
105,GAL_GALR1,True,True,True
106,NDP_LRP5,False,True,True
107,WNT11_FRZB,False,True,False
108,VWF_TNFRSF11B,True,False,True
109,COL1A1_CD93,True,False,False
110,CD24_SIGLEC10,True,False,False
