gene_symbol	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
A1BG-AS1	A1BG-AS1	False	False	False	7.38479937755627	3	True	False	0.007663681151777087	-5.22106650763114	-1.5246633
A1CF	A1CF	False	False	False	24.5129287853301	3	True	True	0.02967513930238874	-2.315042967598052	0.7163154
A2M	A2M	True	True	False	440.927119675718	3	True	True	0.2209379297326498	0.528821581500601	2.9093602
A4GALT	A4GALT	False	False	False	26.7575556569422	3	True	False	0.008508543782623541	-2.523544562924329	0.5555295
AAAS	AAAS	False	False	False	36.3485885706069	3	True	False	0.0513777315976385	-3.0050601547793776	0.18420896
AACS	AACS	False	False	False	21.2695854504424	3	True	False	0.04076188284462138	-2.6204056758239727	0.48083508
AAED1	AAED1	False	False	False	63.8872040283751	3	True	False	0.050535208103427084	-3.354591798699305	-0.08533221
AAGAB	AAGAB	False	False	False	31.8676138147168	3	True	False	0.04081973130975777	-3.8186191580904647	-0.4431667
AAK1	AAK1	False	False	False	34.2933598932098	3	True	False	0.0451197002464599	-3.115700675813952	0.098888576
AAMDC	AAMDC	False	False	False	108.522299067356	3	True	True	0.09610251795224684	-2.2914876324959454	0.7344801
AAMP	AAMP	False	False	False	156.864145301706	3	True	True	0.17724257564815543	-1.7341051273254526	1.1643053
AAR2	AAR2	False	False	False	22.1805567958937	3	True	False	0.025410817580910326	-4.146633593288975	-0.6961149
AARS	AARS	False	False	False	38.6364548168539	3	True	False	0.0652087181505751	-3.040916730288312	0.15655819
AARS2	AARS2	False	False	False	6.47241127047967	3	True	False	0.007381110402856001	-3.896125987579341	-0.50293607
AARSD1	AARSD1	False	False	False	28.6511693402626	3	True	False	0.053533925413515863	-3.014976251604287	0.17656218
AASDH	AASDH	False	False	False	20.0723295288646	3	True	False	0.028284828744541	-3.849748429215266	-0.46717203
AASDHPPT	AASDHPPT	False	False	False	40.8507507073303	3	True	False	0.046940672502141345	-4.357367492743257	-0.85862225
AASS	AASS	False	False	False	3.69941603215591	3	True	False	0.006227610558945818	-4.50983392710188	-0.97619665
AATF	AATF	False	False	False	73.2486382640689	3	True	False	0.07556785977152536	-3.613443495372212	-0.28494558
ABAT	ABAT	False	False	False	10.1781456736923	3	True	False	0.005090682651392395	-4.098082589312039	-0.6586748
ABCA1	ABCA1	True	True	True	33.2695651128997	3	True	True	0.0250248843645371	-1.3721440543494658	1.4434315
ABCA10	ABCA10	False	False	False	3.10093084527067	3	True	False	0.005571786140743637	-4.461060951618905	-0.9385854
ABCA2	ABCA2	False	False	False	9.91248473250689	3	True	False	0.014630545612510787	-3.581960883583147	-0.26066777
ABCA5	ABCA5	False	False	False	36.5376186047488	3	True	False	0.05727890884251213	-2.6867337957791197	0.4296862
ABCA6	ABCA6	False	False	False	7.98083666378025	3	True	False	0.005173147639708679	-3.436075133931326	-0.14816804
ABCA7	ABCA7	False	False	False	10.6055834012693	3	True	False	0.014946976682178452	-4.548707838719967	-1.0061742
ABCA8	ABCA8	False	False	False	54.2044126066536	3	True	False	0.00860965684425817	-1.2419358349937106	1.5438415
ABCB1	ABCB1	False	False	False	22.5958357284735	3	True	True	0.0583546403871844	-0.8434185089475381	1.8511579
ABCB10	ABCB10	False	False	False	9.39072018737185	3	True	False	0.013997128792729768	-4.012547737746856	-0.5927146
ABCB7	ABCB7	False	False	False	28.6197462719945	3	True	False	0.026917716035073046	-3.633319751464304	-0.30027315
ABCB8	ABCB8	False	False	False	29.5523693721283	3	True	False	0.03205781395837575	-3.4707328787409346	-0.17489435
