gene_symbol	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
A1BG	A1BG	False	False	True	40.7566832748477	1	True	False	0.11299369287104377	-3.138129058058384	0.20427054
A1BG-AS1	A1BG-AS1	False	False	False	1.66969588226937	1	True	False	0.009244837330137761	-5.989672779635331	-2.0001462
A2M-AS1	A2M-AS1	False	False	False	2.7369215848413	1	True	False	0.012716698448842616	-2.8764825908778953	0.40653917
A4GALT	A4GALT	False	False	False	10.8568604598516	1	True	False	0.009416257455381622	-1.149325612844338	1.7417365
AAAS	AAAS	False	False	False	18.2017994267154	1	True	True	0.031227317309395475	-2.5827499867003683	0.63361233
AACS	AACS	False	False	False	4.33872876305198	1	True	False	0.008364480372419807	-5.066102629989389	-1.2861702
AADAT	AADAT	False	False	False	1.52213131643439	1	True	False	0.0007872105563193983	-3.596037608614419	-0.1497206
AAED1	AAED1	False	False	False	31.5310340797641	1	True	False	0.050084409275406416	-3.294381700284007	0.08347776
AAGAB	AAGAB	False	False	False	14.1151742386435	1	True	False	0.03628249348820345	-3.656489404685967	-0.19645351
AAK1	AAK1	False	False	False	39.6436688325538	1	True	True	0.18849397843629384	-2.7537744469197434	0.5014
AAMDC	AAMDC	False	False	False	22.8904725329552	1	True	True	0.038948266482744756	-2.462579844198809	0.7265111
AAMP	AAMP	False	False	False	44.9107383876795	1	True	True	0.07821907724112498	-2.708499275022016	0.5364005
AAR2	AAR2	False	False	False	10.1858347055855	1	True	False	0.024980377849693404	-4.528825587901283	-0.87082237
AARS	AARS	False	False	False	13.1096805643894	1	True	False	0.017168575107182366	-3.0226813813847344	0.29351863
AARS2	AARS2	False	False	False	4.80978491576367	1	True	False	0.0063655654273710085	-4.150612416010408	-0.5784406
AARSD1	AARSD1	False	False	False	13.3451417372327	1	True	False	0.04194572305730556	-4.526977302564515	-0.8693936
AASDH	AASDH	False	False	False	17.2504004900692	1	True	False	0.03055067349858565	-3.7754489912720044	-0.2884165
AASDHPPT	AASDHPPT	False	False	False	32.9428808868132	1	True	True	0.05513868427625654	-2.5401459130178865	0.6665479
AASS	AASS	False	False	False	3.90493775912316	1	True	False	0.0015917556948590302	-2.87099295923098	0.410783
AATBC	AATBC	False	False	False	1.07709668849442	1	True	False	0.0021837959288680286	-3.668831847695643	-0.20599496
AATF	AATF	False	False	False	38.2338689096162	1	True	False	0.07707879081521052	-3.4553241361839255	-0.040940527
ABALON	ABALON	False	False	False	1.54474401864166	1	True	False	0.0012389639773135825	-4.3545674256613855	-0.73611027
ABAT	ABAT	False	False	False	2.29883227264233	1	True	False	0.012046359068295086	-6.007869817489627	-2.0142136
ABCA1	ABCA1	False	True	True	5.04656093285565	1	True	False	0.017964850447412715	-3.6431755406424466	-0.18616109
ABCA13	ABCA13	False	False	False	1.01623269900135	1	True	False	4.829551104290882e-05	-0.42369194906078345	2.3026955
ABCA2	ABCA2	False	False	False	3.70338784664068	1	True	False	0.01067645208873283	-5.029578321847321	-1.2579347
ABCA5	ABCA5	False	False	False	8.77647193678656	1	True	False	0.02221838205030144	-4.92961143813877	-1.1806542
ABCA6	ABCA6	False	False	False	1.47410559260279	1	True	False	0.0028802405698014942	-4.108816235945921	-0.54612964
ABCA7	ABCA7	False	False	False	14.4159342714557	1	True	False	0.04092829643805272	-4.339808272168013	-0.7247005
ABCB1	ABCB1	False	False	False	5.16886642317017	1	True	False	0.010034770118138107	-3.4765496092304913	-0.05734911
ABCB10	ABCB10	False	False	False	36.8733717007201	1	True	True	0.06515555649108579	-0.29441418231755	2.402635
ABCB4	ABCB4	False	False	False	1.63998293559601	1	True	False	0.0013799818889049318	-2.0319412337844627	1.059421
ABCB6	ABCB6	False	False	False	1.14009152052692	1	True	False	0.0005636960236444331	-3.633611233600025	-0.1787673
ABCB7	ABCB7	False	False	False	24.0888860433175	1	True	False	0.05314279333901611	-3.328226676215811	0.057313535
ABCB8	ABCB8	False	False	False	9.36751673886025	1	True	False	0.01997013035145487	-4.123034332316079	-0.5571211
ABCB9	ABCB9	False	False	False	2.96051184833038	1	True	False	0.007416245760035772	-3.004075143481339	0.30790237
ABCC1	ABCC1	False	False	False	14.7806449957414	1	True	False	0.028054220283289407	-3.1014313900416095	0.23264007
ABCC10	ABCC10	False	False	False	2.75146592049433	1	True	False	0.009852604086345714	-5.945643375136605	-1.9661087
ABCC3	ABCC3	False	False	False	1.26866942897311	1	True	False	0.005114180137765641	-3.5099963822709026	-0.0832055
